fid,district,dist_name,shape_star,shape_stle,SHAPE__Len,SHAPE__Are,dist_area,OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,ShapeSTAre,ShapeSTLen,trac_area,int_area
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2833","24","510","260301","24510260301","2603.01",Census Tract,G5020,S,"607369","0","+39.3221262","-076.5666573",1016249.671875000000000,4264.455358948047433,"607364","607364"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2834","24","510","260302","24510260302","2603.02",Census Tract,G5020,S,"896864","0","+39.3170679","-076.5644287",1500430.734375000000000,5672.351492564966065,"896865","896833"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2845","24","510","260303","24510260303","2603.03",Census Tract,G5020,S,"1218862","0","+39.3125925","-076.5604701",2038868.804687500000000,7206.962830549455248,"1218864","885371"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2846","24","510","260401","24510260401","2604.01",Census Tract,G5020,S,"1341147","0","+39.3062321","-076.5527959",2243016.300781250000000,6456.019093659301689,"1341149","1052185"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2848","24","510","090200","24510090200","902",Census Tract,G5020,S,"1738449","288605","+39.3341698","-076.5855612",3392883.761718750000000,8130.200003205824942,"2027051","2027051"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2849","24","510","090300","24510090300","903",Census Tract,G5020,S,"793221","0","+39.3312288","-076.6023893",1327569.847656250000000,4957.547054658399247,"793220","469653"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2851","24","510","090500","24510090500","905",Census Tract,G5020,S,"741595","0","+39.3249389","-076.6012005",1240944.078125000000000,6103.361427734132121,"741594","551801"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2852","24","510","090600","24510090600","906",Census Tract,G5020,S,"397270","0","+39.3254965","-076.5902057",664784.902343750000000,3597.428207934406601,"397273","397273"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2853","24","510","090700","24510090700","907",Census Tract,G5020,S,"435082","0","+39.3209223","-076.5956215",727964.230468750000000,3700.577746415764523,"435084","435084"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2875","24","510","260403","24510260403","2604.03",Census Tract,G5020,S,"1706884","0","+39.3148057","-076.5350451",2855396.347656250000000,10292.473965098804911,"1706889","1703117"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2877","24","510","260402","24510260402","2604.02",Census Tract,G5020,S,"1338498","0","+39.3168618","-076.5412760",2239261.031250000000000,7781.031210919932164,"1338500","1338500"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2878","24","510","260404","24510260404","2604.04",Census Tract,G5020,S,"4467107","0","+39.3000662","-076.5528630",7469762.078125000000000,15389.574397184818736,"4467115","39630"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2886","24","510","090800","24510090800","908",Census Tract,G5020,S,"846055","0","+39.3155244","-076.6036910",1415358.015625000232831,4896.196255649272643,"846051","86744"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2928","24","510","270101","24510270101","2701.01",Census Tract,G5020,S,"954113","2251","+39.3327937","-076.5684145",1600697.367187500000000,5697.397565817735995,"956367","956367"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2929","24","510","270102","24510270102","2701.02",Census Tract,G5020,S,"1021027","0","+39.3384113","-076.5597082",1709191.292968750000000,5363.060636622462880,"1021031","1021031"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2930","24","510","270200","24510270200","2702",Census Tract,G5020,S,"938519","0","+39.3406569","-076.5744298",1571171.347656250000000,5565.032019850801589,"938521","938521"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","2931","24","510","270301","24510270301","2703.01",Census Tract,G5020,S,"1138525","0","+39.3488223","-076.5722952",1906443.886718750000000,6185.926594559383375,"1138528","1138528"
